SITECODE,SITENAME,RELEASE_DA,MS
DE6721341,Untere Jagst und  unterer Kocher,2017/11/29,DE
DE6718311,Nördlicher Kraichgau,2017/11/29,DE
DE6816341,Rheinniederung von Karlsruhe bis Philippsburg,2017/11/29,DE
DE6824341,Kochertal Schwäbisch Hall - Künzelsau,2017/11/29,DE
DE6820311,Heuchelberg und östlicher Kraichgau,2017/11/29,DE
DE6825341,Jagst bei Kirchberg und Brettach,2017/11/29,DE
DE6916341,Alter Flugplatz Karlsruhe,2017/11/29,DE
DE6924342,Schwäbisch Haller Bucht,2017/11/29,DE
DE6916342,Hardtwald zwischen Graben und Karlsruhe,2017/11/29,DE
DE6918311,Mittlerer Kraichgau,2017/11/29,DE
DE6917311,Kinzig-Murg-Rinne und Kraichgau bei Bruchsal,2017/11/29,DE
DE6924341,Bühlertal Vellberg - Geislingen,2017/11/29,DE
DE6927341,Rotachtal,2017/11/29,DE
DE6926341,Crailsheimer Hart und Reusenberg,2017/11/29,DE
DE7114311,Rheinniederung und Hardtebene zwischen Lichtenau und Iffezheim,2017/11/29,DE
DE7116341,Albtal mit Seitentälern,2017/11/29,DE
DE7118341,Würm-Nagold-Pforte,2017/11/29,DE
DE7121341,Unteres Remstal und Backnanger Bucht,2017/11/29,DE
DE7123341,Welzheimer Wald,2017/11/29,DE
DE7128341,Westlicher Riesrand,2017/11/29,DE
DE7119341,Strohgäu und unteres Enztal,2017/11/29,DE
DE7117341,Bocksbach und obere Pfinz,2017/11/29,DE
DE7125341,Unteres Leintal und Welland,2017/11/29,DE
DE7127341,Sechtatal und Hügelland von Baldern,2017/11/29,DE
DE7116342,Wälder und Wiesen bei Malsch,2017/11/29,DE
DE7218341,Calwer Heckengäu,2017/11/29,DE
DE7214342,Bruch bei Bühl und Baden-Baden,2017/11/29,DE
DE7222341,Schurwald,2017/11/29,DE
DE7216341,Unteres Murgtal und Seitentäler,2017/11/29,DE
DE7220311,Glemswald und Stuttgarter Bucht,2017/11/29,DE
DE7224311,Rehgebirge und Pfuhlbach,2017/11/29,DE
DE7224342,Albtrauf Donzdorf - Heubach,2017/11/29,DE
DE7215341,Wälder und Wiesen um Baden-Baden,2017/11/29,DE
DE7217341,Eyach oberhalb Neuenbürg,2017/11/29,DE
DE7226311,Heiden und Wälder zwischen Aalen und Heidenheim,2017/11/29,DE
DE7225341,Albuchwiesen,2017/11/29,DE
DE7314341,Schwarzwald-Westrand bei Achern,2017/11/29,DE
DE7316341,Kaltenbronner Enzhöhen,2017/11/29,DE
DE7315311,Talschwarzwald zwischen Bühlertal und Forbach,2017/11/29,DE
DE7313341,Westliches Hanauer Land,2017/11/29,DE
DE7321341,Filder,2017/11/29,DE
DE7325341,Steinheimer Becken,2017/11/29,DE
DE7322311,Albvorland Nürtingen-Kirchheim,2017/11/29,DE
DE7327341,Härtsfeld,2017/11/29,DE
DE7324341,Eybtal bei Geislingen,2017/11/29,DE
DE7319341,Gäulandschaft an der Würm,2017/11/29,DE
DE7317341,Kleinenztal und Schwarzwaldrandplatten,2017/11/29,DE
DE1541301,Darß,2017/11/29,DE
DE2322331,Wasserkruger Moor und Willes Heide,2017/11/29,DE
DE2322301,Schwingetal,2017/11/29,DE
DE2320332,Osteschleifen zwischen Kranenburg und Nieder-Ochtenhausen,2017/11/29,DE
DE6517341,Unterer Neckar Heidelberg - Mannheim,2017/11/29,DE
DE6518341,Odenwald bei Schriesheim,2017/11/29,DE
DE6518311,Steinachtal und Kleiner Odenwald,2017/11/29,DE
DE6617341,Sandgebiete zwischen Mannheim und Sandhausen,2017/11/29,DE
DE6620341,Bauland Mosbach,2017/11/29,DE
DE6619341,Odenwald-Neckargemünd,2017/11/29,DE
DE6622341,Jagsttal bei Schöntal und Klosterwald,2017/11/29,DE
DE6623341,Jagsttal Dörzbach - Krautheim,2017/11/29,DE
DE6625341,Taubergrund Weikersheim - Niederstetten,2017/11/29,DE
DE6620342,Neckartal und Wald Obrigheim,2017/11/29,DE
DE7016343,Oberwald und Alb in Karlsruhe,2017/11/29,DE
DE7017341,Pfinzgau Ost,2017/11/29,DE
DE7017342,Pfinzgau West,2017/11/29,DE
DE7018342,Enztal bei Mühlacker,2017/11/29,DE
DE7016341,Hardtwald zwischen Karlsruhe und Muggensturm,2017/11/29,DE
DE7021341,Löwensteiner und Heilbronner Berge,2017/11/29,DE
DE7016342,Wiesen und Wälder bei Ettlingen,2017/11/29,DE
DE7018341,Stromberg,2017/11/29,DE
DE7021342,Nördliches Neckarbecken,2017/11/29,DE
DE7025341,Oberes Bühlertal,2017/11/29,DE
DE7024341,Kochertal  Abtsgmünd - Gaildorf und Rottal,2017/11/29,DE
DE7026341,Virngrund und Ellwanger Berge,2017/11/29,DE
DE7015341,Rheinniederung zwischen Wintersdorf und Karlsruhe,2017/11/29,DE
DE1647401,Granitz,2017/11/29,DE
DE1747402,Greifswalder Bodden und südlicher Strelasund,2017/11/29,DE
DE1848401,Waldgebiet bei Karlshagen,2017/11/29,DE
DE1940401,Teufelsmoor bei Horst,2017/11/29,DE
DE1946401,Eldena bei Greifswald,2017/11/29,DE
DE1743401,Nordvorpommersche Waldlandschaft,2017/11/29,DE
DE1946402,Wälder südl. Greifswald,2017/11/29,DE
DE1949401,Peenestrom und Achterwasser,2017/11/29,DE
DE1941401,Recknitz- und Trebeltal mit Seitentälern und Feldmark,2017/11/29,DE
DE2031471,Feldmark und Uferzone an Untertrave und Dassower See,2017/11/29,DE
DE2036401,Kariner Land,2017/11/29,DE
DE2121401,Unterelbe,2017/11/29,DE
DE2136401,Schlemminer Wälder,2017/11/29,DE
DE2137401,"Warnowtal, Sternberger Seen und untere Mildenitz",2017/11/29,DE
DE2147401,Peenetallandschaft,2017/11/29,DE
DE1649401,Westliche Pommersche Bucht,2017/11/29,DE
DE2210401,Niedersächsisches Wattenmeer und angrenzendes Küstenmeer,2017/11/29,DE
DE2213401,Wangerland,2017/11/29,DE
DE2050404,Süd-Usedom,2017/11/29,DE
DE2235402,Schweriner Seen,2017/11/29,DE
